sid,score_year,score_band
30187,2013,concert
30188,2013,concert
30192,2013,concert
30210,2013,concert
30211,2013,concert
30212,2013,concert
30215,2013,concert
30220,2013,concert
30221,2013,concert
30222,2013,concert
30231,2013,concert
30242,2013,concert
30278,2013,concert
30284,2013,concert
30285,2013,concert
30291,2013,concert
30292,2013,concert
30296,2013,concert
30302,2013,concert
30307,2013,concert
30309,2013,concert
30311,2013,concert
30313,2013,concert
30319,2013,concert
30324,2013,concert
30326,2013,concert
30328,2013,concert
30329,2013,concert
30337,2013,concert
30338,2013,concert
30339,2013,concert
30341,2013,concert
30349,2013,concert
30350,2013,concert
30351,2013,concert
30353,2013,concert
30366,2013,concert
30426,2013,concert
30427,2013,concert
30456,2013,concert
30462,2013,concert
30466,2013,concert
30483,2013,concert
30485,2013,concert
30486,2013,concert
30489,2013,concert
30503,2013,concert
30525,2013,concert
30526,2013,concert
30527,2013,concert
30528,2013,concert
30535,2013,concert
30537,2013,concert
30540,2013,concert
30542,2013,concert
30559,2013,concert
30602,2013,concert
30625,2013,concert
30672,2013,concert
30673,2013,concert
30679,2013,concert
30680,2013,concert
30681,2013,concert
30683,2013,concert
30689,2013,concert
30690,2013,concert
30691,2013,concert
30715,2013,concert
30716,2013,concert
30717,2013,concert
30718,2013,concert
30719,2013,concert
30720,2013,concert
30721,2013,concert
30730,2013,concert
30732,2013,concert
30758,2013,concert
30759,2013,concert
30762,2013,concert
30763,2013,concert
30786,2013,concert
30805,2013,concert
30806,2013,concert
30822,2013,concert
30824,2013,concert
30825,2013,concert
30828,2013,concert
30829,2013,concert
30833,2013,concert
30834,2013,concert
30836,2013,concert
30837,2013,concert
30841,2013,concert
30843,2013,concert
30845,2013,concert
30847,2013,concert
30849,2013,concert
30852,2013,concert
30864,2013,concert
30871,2013,concert
30880,2013,concert
30882,2013,concert
30889,2013,concert
30890,2013,concert
30901,2013,concert
30902,2013,concert
30904,2013,concert
30908,2013,concert
30909,2013,concert
30911,2013,concert
30913,2013,concert
30921,2013,concert
30927,2013,concert
30928,2013,concert
30932,2013,concert
30933,2013,concert
30935,2013,concert
30937,2013,concert
30940,2013,concert
30953,2013,concert
30954,2013,concert
30955,2013,concert
30965,2013,concert
30976,2013,concert
30977,2013,concert
30980,2013,concert
30981,2013,concert
30982,2013,concert
30985,2013,concert
30987,2013,concert
31006,2013,concert
31013,2013,concert
31015,2013,concert
31016,2013,concert
31023,2013,concert
31025,2013,concert
31033,2013,concert
31047,2013,concert
31062,2013,concert
31080,2013,concert
31085,2013,concert
31109,2013,concert
31110,2013,concert
31111,2013,concert
31112,2013,concert
31114,2013,concert
31127,2013,concert
31128,2013,concert
31150,2013,concert
31153,2013,concert
31154,2013,concert
31155,2013,concert
31176,2013,concert
31177,2013,concert
31178,2013,concert
31182,2013,concert
31233,2013,concert
31234,2013,concert
31236,2013,concert
31238,2013,concert
31240,2013,concert
31281,2013,concert
31295,2013,concert
31319,2013,concert
31354,2013,concert
31357,2013,concert
31416,2013,concert
31431,2013,concert
31473,2013,concert
31485,2013,concert
31487,2013,concert
